id,carat,cut,color,clarity,depth,table,x,y,z,price
158238,0.56,Very Good,G,VS1,63.5,56.0,5.21,5.25,3.31,1723
100721,1.01,Very Good,G,SI1,57.9,58.0,6.57,6.6,3.8,5002
11746,1.24,Ideal,I,VVS2,61.1,57.0,7.02,6.98,4.26,7340
80422,0.3,Ideal,E,VVS2,62.4,54.0,4.26,4.29,2.67,731
45521,0.73,Very Good,E,VVS1,61.9,59.0,5.8,5.83,3.6,3580
95424,0.42,Ideal,F,VS2,62.1,55.0,4.8,4.78,2.97,1024
104365,0.32,Very Good,G,VS2,63.5,54.0,4.37,4.38,2.78,672
106031,0.33,Premium,D,SI2,60.4,60.0,4.42,4.45,2.68,560
38204,0.41,Very Good,H,SI1,62.8,58.0,4.73,4.76,2.98,683
70159,1.5,Ideal,F,VS2,62.7,57.0,7.27,7.33,4.58,14245
168754,1.01,Ideal,E,VS2,61.7,56.0,6.44,6.42,3.97,7443
171553,1.21,Premium,G,VS2,59.9,59.0,6.89,6.91,4.13,8149
78904,0.5,Very Good,D,VS2,61.8,56.0,5.1,5.14,3.16,1777
63188,1.62,Very Good,J,VS1,62.9,58.0,7.39,7.43,4.67,10388
145681,0.31,Ideal,D,VS1,62.1,56.0,4.32,4.34,2.69,736
90770,0.3,Good,H,VVS2,63.1,56.0,4.28,4.24,2.69,605
24395,1.01,Premium,D,VS2,60.8,59.0,6.46,6.5,3.94,7359
73303,0.72,Ideal,H,VS2,61.7,55.0,5.79,5.77,3.57,2553
115816,0.35,Premium,I,VVS1,61.2,58.0,4.51,4.54,2.77,706
48003,2.14,Ideal,I,SI1,62.2,57.0,8.27,8.23,5.13,18115
15214,1.0,Ideal,E,SI1,61.7,56.0,6.42,6.37,3.95,5555
145881,0.39,Ideal,F,IF,61.9,56.0,4.68,4.7,2.91,1250
137645,1.01,Very Good,E,VS2,63.0,60.0,6.41,6.39,4.03,6537
177552,0.42,Ideal,G,VS2,62.2,57.0,4.79,4.83,2.99,847
184542,0.24,Very Good,E,VVS1,61.8,59.0,4.02,4.05,2.48,508
55229,0.31,Ideal,I,VVS1,61.4,56.0,4.35,4.39,2.68,571
58380,2.01,Good,G,SI2,63.9,58.0,7.91,7.86,5.07,13899
96751,1.13,Ideal,G,SI2,62.0,55.0,6.66,6.71,4.14,4702
139639,0.8,Ideal,I,VS2,61.5,55.0,5.97,6.0,3.7,3175
